10000 20000
8266 9883 4095
7105 9251 8577
3385 7427 7032
4353 9590 9032
2061 4032 2952
1202 8313 8164
2429 4560 2736
3693 8582 9675
9793 1549 6337
910 4441 2786
1128 5416 4502
5311 7462 4830
7442 1471 9533
5022 423 6195
499 453 4941
4912 3786 5500
9567 9413 316
9781 9594 4581
4208 4510 670
7480 5485 6744
1255 851 167
1966 510 6984
4041 2877 8759
1476 4754 7186
2118 6403 3214
2353 1700 8371
2076 5215 9320
350 7848 3490
873 1788 7476
4214 2510 3068
1866 8036 8424
5967 5087 6602
4928 7194 8585
3002 3732 5668
7594 1409 6249
4800 6643 6043
1489 3995 3342
2420 4927 6701
1361 563 6353
1471 7457 6814
2664 232 9640
4869 2881 8943
8979 6307 4069
2945 2139 2964
5106 3 3319
7830 6411 6229
5964 5361 7477
1882 5499 1621
19 5005 2138
2414 4121 1401
5764 9353 4917
7946 4273 19
7302 7945 3535
9210 9836 8602
660 6796 4655
8260 1433 9433
3228 4842 5934
768 108 3088
2007 249 4292
8826 3964 4530
8938 8951 2434
5183 6178 631
9731 5085 6456
5834 9982 6457
7903 1618 2707
1159 5860 2438
6987 454 7709
6465 9240 5045
9823 3960 4201
6036 4025 6
5280 3948 5672
7298 8926 1139
3638 5372 2749
6169 1038 9754
5734 4798 9834
5543 3142 7264
4050 9739 9890
9811 6061 5017
5426 6691 5731
4438 9747 9883
9899 4038 2045
2989 128 3886
7326 3368 5649
6475 4566 3928
3578 7215 5550
2558 9181 9008
4823 9917 6916
1167 1663 3564
3 6183 3141
6935 7144 6852
408 4587 1892
4065 2080 4945
2949 9412 2146
2327 4368 9147
6935 4783 7335
7535 4778 6266
8296 5535 5306
3218 6440 440
6632 2243 2664
7432 2337 316
2999 6103 9176
7711 2306 1199
6952 4619 7757
1137 8858 6999
7443 4862 3509
974 5230 7180
5975 1304 9326
5413 1640 9594
7242 6689 9720
106 4598 3558
5713 8087 2042
8119 5915 2400
2596 6058 7552
7066 9473 4599
5509 6266 6680
2307 2243 8561
5895 2488 642
1499 2251 4962
9502 4660 7649
2249 3898 5384
5491 5047 938
4585 2733 6194
3374 3350 5635
1889 3033 3914
6454 1403 3085
348 6606 9800
5655 8886 2205
2554 3909 7385
2721 4429 7482
2024 5977 1588
7326 8557 1620
4400 2405 7964
7486 7353 7771
8809 3187 8141
822 2303 3621
6406 4137 8426
8689 9356 4
6523 9701 4836
6541 6857 8955
446 7044 8274
6698 5435 9189
4450 3166 9526
9568 4814 9216
7840 3777 8398
5861 8063 6297
5904 1896 4210
7361 2180 568
5557 4959 5774
9604 9158 148
4864 2094 3984
9163 8194 6612
6770 3162 4616
2335 6672 8258
3031 5237 2036
8602 1131 6520
485 5591 3124
8137 8200 9363
6036 5064 2518
2196 896 8106
7721 7183 3899
3513 8635 6875
5781 6361 6210
1040 4546 1548
5641 558 3173
7288 3626 174
2812 3445 1961
8050 9581 3440
9681 8610 1254
2943 3542 2414
9776 816 2853
9446 9057 4706
1035 3262 7881
2418 8597 3317
3733 5675 6389
7336 5708 717
6861 291 9266
7381 4642 7359
5269 1607 5851
2049 6675 4867
1050 5329 1577
7394 5673 3838
8489 9483 2408
7119 2156 9289
8616 5944 726
9609 6020 6512
9630 5574 7230
9155 546 7996
5046 5578 133
8837 595 8822
1419 3189 979
3683 2816 4591
7413 7723 7598
116 5591 1970
4485 7938 728
7767 1760 4081
2127 7858 8741
7072 6528 8576
5639 2373 6226
4587 6724 7546
3390 6265 776
8376 8526 3263
7848 9953 2273
6410 295 7347
2417 7324 3739
4514 261 7923
219 1176 4296
6848 6657 3382
2312 9359 4564
7117 6866 5062
8979 6590 2709
5968 7873 1764
6434 1991 1097
6063 3406 8558
2286 1106 9593
2760 8584 9575
8774 3967 5080
1692 2059 8987
7930 3061 7459
1910 8662 1568
2432 2427 3519
1251 3044 613
6737 3586 1603
360 6646 9239
7345 3923 9198
8943 8593 1950
4754 1295 9118
5140 1707 8058
7555 609 8483
4228 8477 4976
1088 1091 5324
8123 3843 178
7193 3622 4667
4195 5182 2648
9449 8355 8675
3435 9102 3177
4973 4018 8829
6130 5651 2578
9318 990 5599
3323 9094 227
1034 2084 8023
8593 7037 61
7323 2304 9108
1757 216 7311
889 3064 6069
7434 3880 4890
1807 2518 4458
8024 4267 2938
6712 3704 4993
1754 5441 115
3865 6569 1317
2120 9044 6004
1845 8827 7168
4836 752 1682
7528 6876 1480
5652 1037 7651
3263 3855 5502
4940 5868 2235
6889 5964 7595
1515 3193 1116
33 2323 5999
5625 6217 2998
6193 5511 801
7481 4270 9481
6815 7551 9247
4285 6430 9288
7172 971 9612
8434 7018 5564
9125 1542 5425
1706 3088 7682
6576 2413 2873
9502 198 6308
4530 1719 4626
6950 556 2998
5106 6824 2736
8753 8355 2891
7621 9387 817
6630 478 3106
6444 7904 8964
9042 3982 1794
2424 82 4841
1079 568 9279
4695 3997 7936
7060 746 5043
9529 3841 2554
9367 4209 2559
9968 9623 6877
9949 2903 1829
1759 1170 8892
5556 7305 8155
5498 7692 4461
5902 3232 9002
9471 3457 4325
8448 877 8983
3528 9872 9548
5669 5357 8805
2502 903 2726
3061 488 1576
9625 568 4353
5657 4784 9829
3627 5601 6686
3065 7847 5691
1612 217 1111
9068 5995 7155
8310 5512 3495
3332 1579 2968
2768 2438 2241
4779 5036 4613
5416 609 8520
4253 8670 7334
2896 5838 1425
3702 3187 7531
7893 6063 1396
7750 1856 2688
7898 5294 5354
920 8029 1968
1183 9222 6272
1919 9054 2336
534 5349 5913
8725 906 2617
2682 3184 2178
2827 8294 712
9913 4237 4081
1112 3983 6873
9646 2178 5675
2166 421 452
8608 4056 5493
9545 9247 2523
2894 8411 922
4640 3916 6195
34 9181 5239
1079 113 9619
9905 7882 6870
4892 3652 8947
7893 4102 4734
5673 3947 8829
4824 2374 336
6432 6683 248
7494 4018 1959
2000 942 3933
5645 1771 2483
6151 3363 9928
2523 8316 4039
4917 32 6873
5836 5550 634
2428 4011 2118
9096 4169 5846
1448 4155 1705
2922 3084 9846
8092 3661 2318
6932 894 9194
9306 900 2270
3608 2607 2701
9630 5500 8712
694 4861 9682
8887 3871 659
3937 1484 5623
4135 8161 3311
6145 7496 6045
1035 6310 1720
5405 9573 4081
8357 222 6423
5376 2805 7773
9060 7554 5172
1854 6656 2103
1835 3787 4754
4067 4041 6164
6154 4411 1948
2711 2285 5884
6757 8295 3415
3284 1375 8254
1860 3923 147
4964 4277 8854
3992 2931 4250
3031 4114 8840
2521 7862 5208
511 6158 3786
8692 7959 8675
5675 2491 1737
1158 2788 3337
8461 9447 5357
4093 4392 4833
1216 8937 4431
419 6509 4418
7144 7736 4753
1000 7223 8211
4189 9772 586
8890 1898 8552
1898 4809 1730
2720 3897 9677
4898 2305 6407
751 3995 3339
6295 3304 7706
6439 603 2494
9470 796 1528
2915 5973 6237
1435 8396 5854
5004 831 6933
2180 6931 6114
8843 1786 8833
3777 3821 3527
9168 5292 4256
7691 6461 1373
7208 4775 5286
7293 9458 8750
6030 884 1145
4949 4913 9964
5754 5112 2632
1177 8149 1066
929 1792 2045
5443 5245 5720
186 3138 9176
4415 3644 7057
8592 6095 1158
8857 668 4886
6917 2705 6401
5744 8952 2866
8478 6714 7732
396 639 7741
8775 6828 8062
7910 3482 6564
7214 4968 4686
3348 4659 3294
6736 6868 1127
344 5148 1736
5938 1857 4261
8340 6519 4013
6075 3681 5206
2568 3889 1172
7196 3841 9168
7163 3465 706
185 1404 5963
4934 9960 6557
8455 3157 299
374 2251 2387
6296 4395 8703
7076 3150 9789
7403 6815 9024
869 182 9930
1191 4654 9355
5803 4254 201
7856 4915 2010
2669 5416 6769
7426 9549 2881
