100 200
33 94 46
69 48 21
85 27 54
68 81 34
47 25 73
35 30 9
20 50 46
31 40 7
8 30 20
95 81 73
5 38 74
42 33 13
18 52 14
60 84 30
75 97 73
71 2 21
100 8 44
42 55 21
37 8 22
6 35 84
71 42 49
28 92 61
7 18 78
53 84 34
90 68 86
60 49 18
99 8 24
100 73 82
10 79 10
86 64 15
59 31 85
64 85 84
94 27 93
66 65 72
51 49 32
2 78 81
7 6 84
15 66 74
51 99 31
54 39 5
85 3 46
58 48 72
12 63 48
10 2 48
56 40 45
32 31 85
88 10 78
65 43 35
52 64 86
42 13 93
93 72 57
100 27 43
26 89 63
84 22 71
88 6 73
63 85 87
26 57 45
44 74 5
81 73 71
26 23 96
54 29 90
61 20 96
7 40 43
78 25 41
92 39 37
9 80 43
22 77 45
94 25 4
97 96 69
48 98 80
88 13 80
81 9 62
31 41 56
87 89 100
87 35 34
48 87 65
42 14 18
96 39 50
18 27 45
35 50 82
6 72 21
40 52 21
66 82 87
74 99 93
92 8 21
41 61 77
70 63 76
96 94 28
62 76 23
2 72 100
51 29 56
83 73 74
1 98 58
7 23 20
90 44 76
29 91 28
99 68 48
91 13 79
86 63 29
19 64 7
27 78 87
54 7 51
71 53 33
9 12 91
74 13 90
40 43 4
9 100 3
38 78 92
10 54 66
19 47 82
33 12 28
43 16 74
16 14 97
94 31 46
77 12 84
35 51 61
86 58 80
36 67 64
75 76 54
8 52 60
39 42 14
79 6 85
6 83 42
80 55 78
20 34 67
17 2 46
44 24 54
73 27 63
35 15 69
24 74 95
97 59 42
17 3 1
97 95 55
60 45 13
37 17 7
51 62 28
66 30 21
29 32 86
75 91 15
81 62 62
8 51 82
56 20 59
37 74 62
16 19 71
81 57 63
92 67 22
28 94 18
67 31 14
95 68 99
47 76 15
61 74 63
92 85 58
42 53 25
34 6 51
11 23 23
41 13 91
66 72 46
10 71 59
53 36 46
88 58 25
86 82 74
80 32 8
12 58 53
79 75 12
63 94 2
65 35 74
64 61 87
39 41 30
4 16 54
71 74 10
88 77 92
23 58 78
70 59 11
100 40 70
31 30 23
99 59 1
5 16 88
78 30 93
87 63 17
78 75 59
9 47 100
3 11 42
6 15 40
53 68 5
46 30 87
44 4 57
34 9 4
78 98 14
79 7 1
47 86 23
93 99 74
3 22 74
21 24 70
88 76 72
73 65 13
12 18 55
99 7 24
16 65 74
65 4 37
59 67 5
